duration_s,power_w
938,197.51279317697222
939,197.53993610223645
940,197.56382978723403
941,197.5876726886291
942,197.61040339702762
943,197.62884411452814
944,197.6451271186441
945,197.65925925925927
946,197.69978858350956
947,197.73706441393873
948,197.76687763713082
949,197.8008429926238
950,197.82631578947365
951,197.84437434279704
952,197.85504201680672
953,197.86044071353624
954,197.85744234800836
955,197.87120418848173
956,197.89539748953968
957,197.90073145245552
958,197.89561586638828
959,197.84984358706984
960,197.81562499999998
961,197.76899063475548
962,197.71829521829528
963,197.64797507788157
964,197.5560165975104
965,197.45077720207257
966,197.3457556935818
967,197.23164426059984
968,197.13636363636363
969,197.06914344685234
970,196.9989690721649
971,196.9237899073121
972,196.85185185185188
973,196.7893114080164
974,196.73203285420948
975,196.67999999999998
976,196.65881147540983
977,196.6345957011259
978,196.6053169734152
979,196.5434116445353
980,196.4663265306123
981,196.38939857288483
982,196.32586558044804
983,196.2787385554425
984,196.24085365853662
985,196.1959390862944
986,196.1399594320487
987,196.081053698075
988,196.02024291497978
989,195.95551061678464
990,195.89090909090913
991,195.83451059535827
992,195.78427419354838
993,195.7401812688822
994,195.70724346076457
995,195.67437185929649
996,195.62449799196787
997,195.56268806419254
998,195.49799599198394
999,195.43143143143138
1000,195.36500000000007
1001,195.30069930069934
1002,195.23652694610777
1003,195.17148554336995
1004,195.10856573705175
1005,195.052736318408
1006,194.99701789264412
1007,194.92949354518367
1008,194.86309523809524
1009,194.8057482656095
1010,194.74752475247524
1011,194.68249258160233
1012,194.61758893280629
1013,194.55577492596234
1014,194.49211045364893
1015,194.42463054187192
1016,194.35629921259834
1017,194.2881022615536
1018,194.2200392927308
1019,194.1511285574092
1020,194.0833333333333
1021,194.0146914789422
1022,193.94422700587089
1023,193.87096774193552
1024,193.7998046875
1025,193.7385365853658
1026,193.6812865497076
1027,193.61927945472254
1028,193.55350194552528
1029,193.48688046647231
1030,193.41844660194175
1031,193.34723569350146
1032,193.28003875968994
1033,193.21781219748306
1034,193.1624758220503
1035,193.11497584541064
1036,193.04729729729726
1037,192.95660559305693
1038,192.8603082851638
1039,192.7738209817132
1040,192.71153846153845
1041,192.6628242074928
1042,192.6190019193858
1043,192.5704697986577
1044,192.51724137931032
1045,192.46124401913872
1046,192.4005736137667
1047,192.33715377268388
1048,192.27767175572518
1049,192.2278360343184
1050,192.19333333333336
1051,192.1560418648906
1052,192.09980988593156
1053,192.04273504273507
1054,191.99051233396582
1055,191.94123222748814
1056,191.89299242424244
1057,191.84673604541152
1058,191.79962192816632
1059,191.75448536355057
1060,191.70943396226411
1061,191.6597549481621
1062,191.6035781544256
1063,191.5437441204139
1064,191.49624060150373
1065,191.46291079812204
1066,191.43433395872418
1067,191.398313027179
1068,191.3473782771535
1069,191.28905519176794
1070,191.22897196261684
1071,191.1680672268906
1072,191.10820895522386
1073,191.0503261882572
1074,190.99162011173183
1075,190.92837209302323
1076,190.86152416356876
1077,190.7994428969359
1078,190.7467532467533
1079,190.6950880444857
1080,190.63518518518515
1081,190.5707678075855
1082,190.5147874306838
1083,190.47830101569716
1084,190.4372693726937
1085,190.37419354838713
1086,190.30662983425415
1087,190.23827046918123
1088,190.171875
1089,190.11019283746558
1090,190.06238532110092
1091,190.04399633363892
1092,190.0283882783883
1093,190.01189387008236
1094,189.96983546617912
1095,189.91232876712326
1096,189.87773722627736
1097,189.86235186873296
1098,189.76320582877958
1099,189.61965423111923
1100,189.45818181818183
1101,189.28882833787463
1102,189.11796733212344
1103,188.95648232094288
1104,188.80615942028982
1105,188.66153846153833
1106,188.52441229656415
1107,188.39747064137308
1108,188.2743682310468
1109,188.14878268710552
1110,188.0225225225225
1111,187.90099009900993
1112,187.78507194244605
1113,187.67026055705304
1114,187.55565529622982
1115,187.44304932735423
1116,187.33243727598563
1117,187.2193375111907
1118,187.10375670840787
1119,186.99195710455766
1120,186.88214285714287
1121,186.7734165923283
1122,186.66399286987522
1123,186.55476402493323
1124,186.4457295373666
1125,186.3368888888889
1126,186.22824156305512
1127,186.1597160603372
1128,186.21542553191492
1129,186.27546501328604
1130,186.32920353982297
1131,186.3784261715296
1132,186.4196113074204
1133,186.46160635481027
1134,186.50793650793653
1135,186.55506607929516
1136,186.59859154929578
1137,186.63324538258578
1138,186.66695957820735
1139,186.70237050043895
